Fator_sul,Fator_sudeste,Fator_cap,Probabilidade
0.8064648193,0.8365896596,0.2001286805,0.004109589041
0.5982422095,0.7831995908,0.1885493274,0.004109589041
0.7789498435,0.8736621612,0.1390549603,0.003767123288
0.7853887808,0.8167527378,0.3469654399,0.003767123288
0.3843388288,0.5175627291,0.1882538163,0.003767123288
0.7907546356,0.902521865,0.2034796225,0.003767123288
0.8132981328,0.79129803,0.3043053658,0.003652968037
0.778610987,0.8727196088,0.408998215,0.003538812785
0.5220015458,0.6661724101,0.4964058318,0.003196347032
0.8183751027,0.9375611194,0.2139536485,0.003196347032
0.6497682813,0.8175215205,0.1566282891,0.003082191781
0.8022666238,0.9094490127,0.2861460438,0.003082191781
0.4458253238,0.5604913068,0.5195644578,0.003082191781
0.7437311206,0.8274438932,0.1142197909,0.00296803653
0.5740586946,0.6464605551,0.5051288779,0.00296803653
0.4598563615,0.5779561069,0.1123047564,0.00296803653
0.7276093125,0.8653935983,0.1919584122,0.00296803653
0.6861134906,0.8695359496,0.3782813425,0.00296803653
0.5038092978,0.6992767132,0.4406124778,0.00296803653
0.3744613148,0.5019001075,0.3887316456,0.002853881279
0.5172469921,0.6113286041,0.5093296694,0.002853881279
0.7157456407,0.7309649118,0.457730674,0.002739726027
0.9438656317,0.9397540288,0.2176770977,0.002511415525
0.55660431,0.743406833,0.102557385,0.002511415525
0.8267635959,0.8779350473,0.3419251321,0.002511415525
0.8696451987,0.8808741363,0.2918778556,0.002511415525
0.8973719462,0.8822128265,0.2491829134,0.002397260274
0.800217574,0.7978243794,0.4088508134,0.002397260274
0.7954141655,0.8101916448,0.1471992609,0.002283105023
0.8863578899,0.9234434183,0.3144642995,0.002283105023
0.6747243349,0.7618949534,0.5038224019,0.002168949772
0.7126877436,0.825405344,0.4812481669,0.002168949772
0.6383182831,0.6818361348,0.4797003459,0.002168949772
0.6767444221,0.7171686132,0.5435975541,0.002054794521
0.6109429328,0.7079360386,0.5152899108,0.002054794521
0.7337596087,0.8984187778,0.2383751925,0.002054794521
0.8512231254,0.9090834984,0.1788589997,0.001940639269
0.8506746986,0.837701497,0.3827344671,0.001940639269
0.7470298635,0.88958651,0.3468279332,0.001940639269
0.3811477147,0.5110484326,0.1288768681,0.001826484018
0.6241616554,0.7565757956,0.5265853771,0.001826484018
0.8928357099,0.8824196889,0.1967995036,0.001826484018
0.5516602175,0.7145291449,0.4930206216,0.001826484018
0.7924010834,0.8166191233,0.4800202971,0.001712328767
0.5782610585,0.7587030037,0.4982119282,0.001598173516
0.7359403637,0.8776092816,0.448984306,0.001598173516
0.3663001833,0.5096940355,0.470774062,0.001484018265
0.8557610714,0.885898621,0.4183233308,0.001369863014
0.8598200041,0.8420166988,0.1464093339,0.001369863014
0.8604310813,0.9496068644,0.2742955004,0.001369863014
0.3875698263,0.5347400388,0.5202550181,0.001369863014
0.6821635866,0.6833326696,0.1230401731,0.001369863014
0.68145123,0.7933231587,0.543538961,0.001369863014
0.4829649454,0.6235792847,0.1017041371,0.001369863014
0.7899302086,0.9309103468,0.142179286,0.001255707763
0.6363339576,0.6897554853,0.556013548,0.001255707763
0.8871683461,0.8936895877,0.3561595551,0.001141552511
0.8848449327,0.9613200071,0.2174329086,0.00102739726
0.9243688581,0.9507662699,0.1615261272,0.00102739726
0.5073762399,0.5869459256,0.5761676009,0.00102739726
